shapeGroup,shapeID,shapeISO,shapeName,shapeType,prob0,prob1,prob2,prob3,prob4
JAM,JAM-ADM0-3_0_0-B1,JAM,Jamaica,ADM0,98.01697465943589,68.19944542631924,8.079124804525671,,
JOR,JOR-ADM0-3_0_0-B1,JOR,Jordan,ADM0,98.47356599621617,96.09838335643441,82.68461684981479,,
JPN,JPN-ADM0-3_0_0-B1,JPN,Japan,ADM0,97.62832913462708,96.34548386069262,92.22557217905162,,
KAZ,KAZ-ADM0-3_0_0-B1,KAZ,Kazakhstan,ADM0,98.97135070489094,97.7222536727967,93.75517812527282,,
KEN,KEN-ADM0-3_0_0-B1,KEN,Kenya,ADM0,98.4845810103242,75.1060111884509,96.8817867532184,78.66062845472254,
KGZ,KGZ-ADM0-3_0_0-B1,KGZ,Kyrgyzstan,ADM0,98.00033392816704,95.61105337892161,89.13585677117364,,
KHM,KHM-ADM0-3_0_0-B1,KHM,Cambodia,ADM0,98.5190536514777,94.23660809686037,93.85459197732781,89.84367692556388,
KIR,KIR-ADM0-3_0_0-B1,KIR,Kiribati,ADM0,49.74838912769775,36.969070465173196,58.23161163808918,,
KNA,KNA-ADM0-3_0_0-B1,KNA,Saint Kitts and Nevis,ADM0,87.26305385314568,55.45034272907626,,,
KOR,KOR-ADM0-3_0_0-B1,KOR,Korea (Republic of),ADM0,96.35161755720372,91.20310954438192,85.70881918966478,,
KWT,KWT-ADM0-3_0_0-B1,KWT,Kuwait,ADM0,96.38091443356498,94.97951766128924,,,
LAO,LAO-ADM0-3_0_0-B1,LAO,Lao People's Democratic Repub*,ADM0,98.39055359616452,95.86393852239806,91.96247961761404,,
LBN,LBN-ADM0-3_0_0-B1,LBN,Lebanon,ADM0,96.88982440148432,79.5275681368394,91.53790785209206,86.1489104637871,
LBR,LBR-ADM0-3_0_0-B1,LBR,Liberia,ADM0,98.67508201735991,93.502803058108,77.30630573807176,,
LBY,LBY-ADM0-3_0_0-B1,LBY,Libya,ADM0,99.5509923743337,76.38654854126621,,,
LCA,LCA-ADM0-3_0_0-B1,LCA,Saint Lucia,ADM0,93.31548394567614,70.84794220857484,67.37554332207174,,
LIE,LIE-ADM0-3_0_0-B1,LIE,Liechtenstein,ADM0,79.99275423038969,38.15564038958937,,,
LKA,LKA-ADM0-3_0_0-B1,LKA,Sri Lanka,ADM0,98.62476421224818,73.38022021875068,66.65615449540705,99.1932598987847,91.62823713665178
LSO,LSO-ADM0-3_0_0-B1,LSO,Lesotho,ADM0,98.7197833797451,94.94135215170566,90.49289127768081,,
LTU,LTU-ADM0-3_0_0-B1,LTU,Lithuania,ADM0,98.49944965080581,95.76322311572733,92.21775351930113,97.1589783229091,
LUX,LUX-ADM0-3_0_0-B1,LUX,Luxembourg,ADM0,93.63877375640661,49.83583509748463,46.72484405146448,80.57011031424423,
LVA,LVA-ADM0-3_0_0-B1,LVA,Latvia,ADM0,98.59135614950054,50.95960566340247,17.857608318939295,,
MAR,MAR-ADM0-3_0_0-B1,MAR,Morocco,ADM0,76.2843476265528,59.03806711306926,69.1056287375107,76.79002250603766,51.12857825426232
MCO,MCO-ADM0-3_0_0-B1,MCO,Monaco,ADM0,26.58516763803864,17.37476146184238,,,
MDA,MDA-ADM0-3_0_0-B1,MDA,Moldova,ADM0,97.13239442043509,86.34273190145328,,,
MDG,MDG-ADM0-3_0_0-B1,MDG,Madagascar,ADM0,99.24637836631973,60.10231320729239,59.26707549616448,47.190348709011666,50.73304738814139
MDV,MDV-ADM0-3_0_0-B1,MDV,Maldives,ADM0,15.990908528586829,1.7488538919530954,99.113698940108,,
MEX,MEX-ADM0-3_0_0-B1,MEX,Mexico,ADM0,99.2616932309548,97.64889493961554,87.21609425166369,,
MHL,MHL-ADM0-3_0_0-B1,MHL,Marshall Islands,ADM0,18.72253968196438,7.521487793356381,,,
MKD,MKD-ADM0-3_0_0-B1,MKD,Republic of Macedonia,ADM0,96.78461352778749,45.90003715880208,94.69623678057238,,
MLI,MLI-ADM0-3_0_0-B1,MLI,Mali,ADM0,99.43485286483799,94.0298680121349,97.75391728350343,83.3138458879306,
MLT,MLT-ADM0-3_0_0-B1,MLT,Malta,ADM0,87.2352635116598,36.940721112742345,79.96994061013865,,
MMR,MMR-ADM0-3_0_0-B1,MMR,Myanmar,ADM0,98.15095696431958,88.26388480652099,50.35665347093118,85.31534200875613,
MNE,MNE-ADM0-3_0_0-B1,MNE,Montenegro,ADM0,94.82498266791846,85.33759902172838,,,
MNG,MNG-ADM0-3_0_0-B1,MNG,Mongolia,ADM0,99.55924128365587,98.51498239051493,91.28225254062048,,
MOZ,MOZ-ADM0-3_0_0-B1,MOZ,Mozambique,ADM0,99.27756025175715,98.54967284526987,96.06440980530994,96.85440820675569,
MRT,MRT-ADM0-3_0_0-B1,MRT,Mauritania,ADM0,99.26034747037914,97.7166645377409,89.09402855907983,,
MUS,MUS-ADM0-3_0_0-B1,MUS,Mauritius,ADM0,94.2054079954506,87.6694608454465,,,
MWI,MWI-ADM0-3_0_0-B1,MWI,Malawi,ADM0,86.92694911203489,51.350781639935384,59.83257243522449,40.54059430160978,
MYS,MYS-ADM0-3_0_0-B1,MYS,Malaysia,ADM0,98.18375136724347,97.80951424251779,92.31361703840592,,
NAM,NAM-ADM0-3_0_0-B1,NAM,Namibia,ADM0,99.71366720455633,97.7170073539819,98.53360785808627,,
NER,NER-ADM0-3_0_0-B1,NER,Niger,ADM0,99.5015871127555,92.07337596966744,83.82483716843029,72.7574159447765,
NGA,NGA-ADM0-3_0_0-B1,NGA,Nigeria,ADM0,99.40054801150546,96.5798936358954,89.16254298474112,,
NIC,NIC-ADM0-3_0_0-B1,NIC,Nicaragua,ADM0,99.04647089144513,64.21482745659877,79.9765122844867,,
NLD,NLD-ADM0-3_0_0-B1,NLD,Netherlands,ADM0,91.86381736904694,49.1819993728488,32.41109395664654,,
